tiempo_ms,adc,voltaje,humedad
18699,1252,1.01,84
18899,1227,0.99,85
19099,1247,1.0,84
19299,1115,0.9,90
19499,1234,0.99,84
19699,1207,0.97,86
19899,1264,1.02,83
20099,1210,0.98,85
20299,1303,1.05,81
20499,1343,1.08,79
20699,1179,0.95,87
20899,1279,1.03,82
21099,1264,1.02,83
21299,1259,1.01,83
21499,1273,1.03,83
21699,1243,1.0,84
21899,1292,1.04,82
22099,1340,1.08,80
22299,1383,1.11,78
22499,1264,1.02,83
22699,1320,1.06,80
22899,1262,1.02,83
23099,1266,1.02,83
23299,1437,1.16,75
23499,1297,1.05,81
23699,1251,1.01,84
23899,1381,1.11,78
24099,1257,1.01,83
24299,1397,1.13,77
24499,1276,1.03,82
24699,1312,1.06,81
24899,1300,1.05,81
25099,1384,1.12,78
25299,1341,1.08,79
25499,1345,1.08,79
25699,1311,1.06,81
25899,1187,0.96,86
26099,1301,1.05,81
26299,1181,0.95,87
26499,1229,0.99,85
26699,1292,1.04,82
26899,1116,0.9,90
27099,1135,0.91,89
27299,1156,0.93,88
27499,1258,1.01,83
27699,1134,0.91,89
27899,1168,0.94,87
28099,1216,0.98,85
28299,1085,0.87,91
28499,1242,1.0,84
28699,1194,0.96,86
28899,1279,1.03,82
29099,1323,1.07,80
29299,1443,1.16,75
29499,1438,1.16,75
29699,1481,1.19,73
29899,1424,1.15,76
30099,1522,1.23,71
30299,1706,1.37,63
30499,2480,2.0,28
30699,2515,2.03,26
30899,2533,2.04,25
31099,2559,2.06,24
31299,2545,2.05,25
31499,2585,2.08,23
31699,2579,2.08,23
31899,2585,2.08,23
32099,2559,2.06,24
32299,2599,2.09,22
32499,2557,2.06,24
32699,2559,2.06,24
32899,2587,2.08,23
33099,2582,2.08,23
33299,2559,2.06,24
33499,2607,2.1,22
33699,2591,2.09,23
33899,2544,2.05,25
34099,2529,2.04,25
34299,1995,1.61,50
34499,1740,1.4,61
34699,1907,1.54,54
34899,2352,1.9,34
35099,2527,2.04,26
35299,2559,2.06,24
35499,2606,2.1,22
35699,2559,2.06,24
35899,2590,2.09,23
36099,2587,2.08,23
36299,2559,2.06,24
36499,2591,2.09,23
36699,2601,2.1,22
36899,2583,2.08,23
37099,2593,2.09,23
37299,2581,2.08,23
37499,2591,2.09,23
37699,2588,2.09,23
37899,2559,2.06,24
38099,2589,2.09,23
38299,2585,2.08,23
38499,2559,2.06,24
38699,2580,2.08,23
38899,2559,2.06,24
39099,2590,2.09,23
39299,2591,2.09,23
39499,2583,2.08,23
39699,2587,2.08,23
39899,2591,2.09,23
40099,2583,2.08,23
40299,2593,2.09,23
40499,2587,2.08,23
40699,2586,2.08,23
40899,2559,2.06,24
41099,2578,2.08,23
41299,2580,2.08,23
41499,2559,2.06,24
41699,2579,2.08,23
41899,2582,2.08,23
42099,2559,2.06,24
42299,2559,2.06,24
42499,2578,2.08,23
42699,2559,2.06,24
42899,2579,2.08,23
43099,2559,2.06,24
43299,2578,2.08,23
43499,2602,2.1,22
43699,2559,2.06,24
43899,2599,2.09,22
44099,2593,2.09,23
44299,2585,2.08,23
44499,2559,2.06,24
44699,2559,2.06,24
44899,2559,2.06,24
45099,2598,2.09,22
45299,2559,2.06,24
45499,2553,2.06,24
45699,2604,2.1,22
45899,2581,2.08,23
46099,2559,2.06,24
46299,2606,2.1,22
46499,2582,2.08,23
46699,2577,2.08,23
46899,2559,2.06,24
47099,2454,1.98,29
47299,2559,2.06,24
47499,2559,2.06,24
47699,2585,2.08,23
47899,2594,2.09,23
48099,2581,2.08,23
48299,2594,2.09,23
48499,2559,2.06,24
48699,2559,2.06,24
48899,2583,2.08,23
49099,2597,2.09,22
49299,2589,2.09,23
49499,2559,2.06,24
49699,2608,2.1,22
49899,2559,2.06,24
50099,2579,2.08,23
50299,2591,2.09,23
50499,2559,2.06,24
50699,2559,2.06,24
50899,2593,2.09,23
51099,2579,2.08,23
51299,2583,2.08,23
51499,2492,2.01,27
51699,2585,2.08,23
51899,2584,2.08,23
500,2475,1.99,28
699,2497,2.01,27
899,2483,2.0,28
1099,2496,2.01,27
1299,2506,2.02,27
1499,2451,1.98,29
1699,2494,2.01,27
1899,2462,1.98,29
2099,2551,2.06,24
2299,2480,2.0,28
2499,2513,2.03,26
2699,2495,2.01,27
2899,2494,2.01,27
3099,2502,2.02,27
3299,2517,2.03,26
3499,2477,2.0,28
3699,2487,2.0,27
3899,2543,2.05,25
4099,2491,2.01,27
4299,2459,1.98,29
4499,2496,2.01,27
4699,2524,2.03,26
4899,2485,2.0,27
5099,2486,2.0,27
5299,2448,1.97,29
5499,2447,1.97,29
5699,2509,2.02,26
5899,2538,2.05,25
6099,2481,2.0,28
6299,2441,1.97,29
6499,2499,2.01,27
6699,2484,2.0,28
6899,2474,1.99,28
7099,2506,2.02,27
7299,2480,2.0,28
7499,2485,2.0,27
7699,2510,2.02,26
7899,2511,2.02,26
8099,2487,2.0,27
8299,2498,2.01,27
8499,2511,2.02,26
8699,2545,2.05,25
8899,2471,1.99,28
9099,2496,2.01,27
9299,2482,2.0,28
9499,2486,2.0,27
9699,2496,2.01,27
9899,2501,2.02,27
10099,2485,2.0,27
10299,2480,2.0,28
10499,2474,1.99,28
10699,2441,1.97,29
10899,2459,1.98,29
11099,2487,2.0,27
11299,2533,2.04,25
11499,2473,1.99,28
11699,2499,2.01,27
11899,2493,2.01,27
12099,2504,2.02,27
12299,2512,2.02,26
12499,2490,2.01,27
12699,2457,1.98,29
12899,2491,2.01,27
13099,2496,2.01,27
13299,2493,2.01,27
13499,2482,2.0,28
13699,2445,1.97,29
13899,2485,2.0,27
14099,2515,2.03,26
14299,2485,2.0,27
14499,2505,2.02,27
14699,2460,1.98,29
14899,2498,2.01,27
15099,2514,2.03,26
15299,2519,2.03,26
15499,2486,2.0,27
15699,2479,2.0,28
15899,2462,1.98,29
16099,2485,2.0,27
16299,2531,2.04,25
16499,2523,2.03,26
16699,2513,2.03,26
16899,2478,2.0,28
17099,2465,1.99,28
17299,2480,2.0,28
17499,2501,2.02,27
17699,2522,2.03,26
17899,2496,2.01,27
18099,2477,2.0,28
18299,2467,1.99,28
18499,2518,2.03,26
18699,2494,2.01,27
18899,2480,2.0,28
19099,2499,2.01,27
19299,2475,1.99,28
19499,2512,2.02,26
19699,2490,2.01,27
19899,2487,2.0,27
20099,2485,2.0,27
20299,2475,1.99,28
20499,2446,1.97,29
20699,2496,2.01,27
20899,2511,2.02,26
21099,2481,2.0,28
21299,2480,2.0,28
21499,2480,2.0,28
21699,2466,1.99,28
21899,2484,2.0,28
22099,2514,2.03,26
22299,2465,1.99,28
22499,2512,2.02,26
22699,2496,2.01,27
22899,2527,2.04,26
23099,2494,2.01,27
23299,2482,2.0,28
23499,2480,2.0,28
23699,2513,2.03,26
23899,2507,2.02,26
24099,2485,2.0,27
24299,2472,1.99,28
24499,2499,2.01,27
24699,2491,2.01,27
24899,2514,2.03,26
25099,2496,2.01,27
25299,2525,2.03,26
25499,2481,2.0,28
25699,2501,2.02,27
25899,2490,2.01,27
26099,2510,2.02,26
26299,2514,2.03,26
26499,2480,2.0,28
26699,2511,2.02,26
26899,2494,2.01,27
27099,2489,2.01,27
27299,2498,2.01,27
27499,2482,2.0,28
27699,2497,2.01,27
27899,2495,2.01,27
28099,2487,2.0,27
28299,2515,2.03,26
28499,2487,2.0,27
28699,2493,2.01,27
28899,2497,2.01,27
29099,2476,2.0,28
29299,2495,2.01,27
29499,2486,2.0,27
29699,2475,1.99,28
29899,2495,2.01,27
30099,2479,2.0,28
30299,2495,2.01,27
30499,2484,2.0,28
30699,2476,2.0,28
30899,2480,2.0,28
31099,2499,2.01,27
31299,2509,2.02,26
31499,2491,2.01,27
31699,2503,2.02,27
31899,2507,2.02,26
32099,2497,2.01,27
32299,2480,2.0,28
32499,2491,2.01,27
32699,2486,2.0,27
32899,2477,2.0,28
33099,2479,2.0,28
33299,2481,2.0,28
33499,2483,2.0,28
33699,2465,1.99,28
33899,2496,2.01,27
34099,2476,2.0,28
34299,2490,2.01,27
34499,2531,2.04,25
34699,2501,2.02,27
34899,2486,2.0,27
35099,2496,2.01,27
35299,2483,2.0,28
35499,2480,2.0,28
35699,2469,1.99,28
35899,2513,2.03,26
36099,2503,2.02,27
36299,2501,2.02,27
36499,2501,2.02,27
36699,2480,2.0,28
36899,2480,2.0,28
37099,2467,1.99,28
37299,2505,2.02,27
37499,2517,2.03,26
37699,2471,1.99,28
37899,2455,1.98,29
38099,2526,2.04,26
38299,2480,2.0,28
38499,2480,2.0,28
38699,2467,1.99,28
38899,2491,2.01,27
39099,2496,2.01,27
39299,2511,2.02,26
39499,2503,2.02,27
39699,2509,2.02,26
39899,2480,2.0,28
40099,2512,2.02,26
40299,2486,2.0,27
40499,2495,2.01,27
40699,2528,2.04,26
40899,2498,2.01,27
41099,2525,2.03,26
41299,2485,2.0,27
41499,2480,2.0,28
41699,2501,2.02,27
41899,2480,2.0,28
42099,2493,2.01,27
42299,2499,2.01,27
42499,2492,2.01,27
42699,2485,2.0,27
42899,2479,2.0,28
43099,2512,2.02,26
43299,2492,2.01,27
43499,2480,2.0,28
43699,2481,2.0,28
43899,2479,2.0,28
44099,2489,2.01,27
44299,2533,2.04,25
44499,2494,2.01,27
44699,2502,2.02,27
44899,2509,2.02,26
45099,2495,2.01,27
45299,2487,2.0,27
45499,2507,2.02,26
45699,2506,2.02,27
45899,2512,2.02,26
46099,2501,2.02,27
46299,2463,1.98,28
46499,2490,2.01,27
46699,2493,2.01,27
46899,2513,2.03,26
47099,2506,2.02,27
47299,2499,2.01,27
47499,2501,2.02,27
47699,2506,2.02,27
47899,2512,2.02,26
48099,2508,2.02,26
48299,2507,2.02,26
48499,2491,2.01,27
48699,2486,2.0,27
48899,2498,2.01,27
49099,2494,2.01,27
49299,2479,2.0,28
49499,2487,2.0,27
49699,2512,2.02,26
49899,2486,2.0,27
50099,2475,1.99,28
50299,2495,2.01,27
50499,2483,2.0,28
50699,2507,2.02,26
50899,2499,2.01,27
51099,2490,2.01,27
51299,2480,2.0,28
51499,2464,1.99,28
51699,2506,2.02,27
51899,2503,2.02,27
52099,2491,2.01,27
52299,2485,2.0,27
52499,2526,2.04,26
52699,2504,2.02,27
52899,2483,2.0,28
53099,2495,2.01,27
53299,2476,2.0,28
53499,2501,2.02,27
53699,2483,2.0,28
53899,2477,2.0,28
54099,2480,2.0,28
54299,2527,2.04,26
54499,2503,2.02,27
54699,2511,2.02,26
54899,2512,2.02,26
55099,2469,1.99,28
55299,2492,2.01,27
55499,2459,1.98,29
55699,2469,1.99,28
55899,2484,2.0,28
56099,2496,2.01,27
56299,2497,2.01,27
56499,2491,2.01,27
56699,2506,2.02,27
56899,2477,2.0,28
57099,2497,2.01,27
57299,2509,2.02,26
57499,2496,2.01,27
57699,2478,2.0,28
57899,2480,2.0,28
58099,2473,1.99,28
58299,2498,2.01,27
58499,2486,2.0,27
58699,2515,2.03,26
58899,2507,2.02,26
59099,2509,2.02,26
59299,2496,2.01,27
59499,2491,2.01,27
59699,2497,2.01,27
59899,2445,1.97,29
60099,2498,2.01,27
60299,2499,2.01,27
60499,2497,2.01,27
60699,2499,2.01,27
60899,2512,2.02,26
61099,2518,2.03,26
61299,2482,2.0,28
61499,2501,2.02,27
61699,2480,2.0,28
61899,2512,2.02,26
62099,2491,2.01,27
62299,2497,2.01,27
62499,2480,2.0,28
62699,2466,1.99,28
62899,2491,2.01,27
63099,2496,2.01,27
63299,2508,2.02,26
63499,2497,2.01,27
63699,2513,2.03,26
63899,2482,2.0,28
64099,2466,1.99,28
64299,2495,2.01,27
64499,2481,2.0,28
64699,2512,2.02,26
64899,2505,2.02,27
65099,2521,2.03,26
65299,2490,2.01,27
65499,2492,2.01,27
65699,2495,2.01,27
65899,2521,2.03,26
66099,2489,2.01,27
66299,2473,1.99,28
66499,2482,2.0,28
66699,2496,2.01,27
66899,2480,2.0,28
67099,2498,2.01,27
67299,2482,2.0,28
67499,2491,2.01,27
67699,2487,2.0,27
67899,2506,2.02,27
68099,2496,2.01,27
68299,2486,2.0,27
68499,2500,2.01,27
68699,2498,2.01,27
68899,2501,2.02,27
69099,2483,2.0,28
69299,2495,2.01,27
69499,2480,2.0,28
69699,2496,2.01,27
69899,2498,2.01,27
70099,2509,2.02,26
70299,2498,2.01,27
70499,2496,2.01,27
70699,2506,2.02,27
70899,2511,2.02,26
71099,2500,2.01,27
71299,2474,1.99,28
71499,2518,2.03,26
71699,2496,2.01,27
71899,2512,2.02,26
72099,2507,2.02,26
72299,2505,2.02,27
72499,2478,2.0,28
72699,2496,2.01,27
72899,2500,2.01,27
73099,2501,2.02,27
73299,2497,2.01,27
73499,2467,1.99,28
73699,2496,2.01,27
73899,2497,2.01,27
74099,2510,2.02,26
74299,2495,2.01,27
74499,2490,2.01,27
74699,2509,2.02,26
74899,2511,2.02,26
75099,2496,2.01,27
75299,2490,2.01,27
75499,2526,2.04,26
75699,2491,2.01,27
75899,2487,2.0,27
76099,2481,2.0,28
76299,2487,2.0,27
76499,2490,2.01,27
76699,2495,2.01,27
76899,2498,2.01,27
77099,2509,2.02,26
77299,2510,2.02,26
77499,2484,2.0,28
77699,2494,2.01,27
77899,2471,1.99,28
78099,2496,2.01,27
78299,2505,2.02,27
78499,2511,2.02,26
78699,2495,2.01,27
78899,2490,2.01,27
79099,2522,2.03,26
79299,2511,2.02,26
79499,2492,2.01,27
79699,2478,2.0,28
79899,2477,2.0,28
80099,2527,2.04,26
80299,2507,2.02,26
80499,2496,2.01,27
80699,2482,2.0,28
80899,2507,2.02,26
81099,2505,2.02,27
81299,2495,2.01,27
81499,2487,2.0,27
81699,2495,2.01,27
81899,2511,2.02,26
82099,2466,1.99,28
82299,2477,2.0,28
82499,2513,2.03,26
82699,2493,2.01,27
82899,2503,2.02,27
83099,2480,2.0,28
83299,2487,2.0,27
83499,2523,2.03,26
83699,2470,1.99,28
83899,2521,2.03,26
84099,2519,2.03,26
84299,2490,2.01,27
84499,2496,2.01,27
84699,2491,2.01,27
84899,2480,2.0,28
85099,2492,2.01,27
85299,2497,2.01,27
85499,2475,1.99,28
85699,2498,2.01,27
85899,2482,2.0,28
86099,2524,2.03,26
86299,2507,2.02,26
86499,2505,2.02,27
86699,2523,2.03,26
86899,2490,2.01,27
87099,2517,2.03,26
87299,2496,2.01,27
87499,2509,2.02,26
87699,2499,2.01,27
87899,2511,2.02,26
88099,2502,2.02,27
88299,2489,2.01,27
88499,2509,2.02,26
88699,2478,2.0,28
88899,2501,2.02,27
89099,2523,2.03,26
89299,2480,2.0,28
89499,2503,2.02,27
89699,2510,2.02,26
89899,2486,2.0,27
90099,2512,2.02,26
90299,2498,2.01,27
90499,2502,2.02,27
90699,2501,2.02,27
90899,2480,2.0,28
91099,2508,2.02,26
91299,2490,2.01,27
91499,2494,2.01,27
91699,2515,2.03,26
91899,2487,2.0,27
92099,2481,2.0,28
92299,2516,2.03,26
92499,2451,1.98,29
92699,2494,2.01,27
92899,2496,2.01,27
93099,2486,2.0,27
93299,2501,2.02,27
93499,2500,2.01,27
93699,2491,2.01,27
93899,2500,2.01,27
94099,2514,2.03,26
94299,2500,2.01,27
94499,2486,2.0,27
94699,2522,2.03,26
94899,2491,2.01,27
95099,2499,2.01,27
95299,2462,1.98,29
95499,2479,2.0,28
95699,2506,2.02,27
95899,2470,1.99,28
96099,2495,2.01,27
96299,2495,2.01,27
96499,2501,2.02,27
96699,2492,2.01,27
96899,2481,2.0,28
97099,2493,2.01,27
97299,2510,2.02,26
97499,2479,2.0,28
97699,2493,2.01,27
97899,2539,2.05,25
98099,2485,2.0,27
98299,2481,2.0,28
98499,2486,2.0,27
98699,2493,2.01,27
98899,2490,2.01,27
99099,2498,2.01,27
99299,2514,2.03,26
99499,2505,2.02,27
99699,2484,2.0,28
99899,2483,2.0,28
100099,2541,2.05,25
100299,2533,2.04,25
100499,2496,2.01,27
100699,2519,2.03,26
100899,2496,2.01,27
101099,2527,2.04,26
101299,2485,2.0,27
101499,2482,2.0,28
101699,2524,2.03,26
101899,2516,2.03,26
102099,2496,2.01,27
102299,2459,1.98,29
102499,2490,2.01,27
102699,2496,2.01,27
102899,2489,2.01,27
103099,2509,2.02,26
103299,2497,2.01,27
103499,2493,2.01,27
103699,2515,2.03,26
103899,2494,2.01,27
104099,2484,2.0,28
104299,2499,2.01,27
104499,2502,2.02,27
104699,2493,2.01,27
104899,2480,2.0,28
105099,2480,2.0,28
105299,2481,2.0,28
105499,2487,2.0,27
105699,2494,2.01,27
105899,2502,2.02,27
106099,2486,2.0,27
106299,2496,2.01,27
106499,2480,2.0,28
106699,2512,2.02,26
106899,2504,2.02,27
107099,2495,2.01,27
107299,2480,2.0,28
107499,2477,2.0,28
107699,2485,2.0,27
107899,2463,1.98,28
108099,2506,2.02,27
108299,2491,2.01,27
108499,2512,2.02,26
108699,2482,2.0,28
108899,2473,1.99,28
109099,2506,2.02,27
109299,2505,2.02,27
109499,2515,2.03,26
109699,2522,2.03,26
109899,2478,2.0,28
110099,2485,2.0,27
110299,2481,2.0,28
110499,2502,2.02,27
110699,2483,2.0,28
110899,2503,2.02,27
111099,2477,2.0,28
111299,2480,2.0,28
111499,2495,2.01,27
111699,2475,1.99,28
111899,2533,2.04,25
112099,2497,2.01,27
112299,2474,1.99,28
112499,2518,2.03,26
112699,2486,2.0,27
112899,2498,2.01,27
113099,2509,2.02,26
113299,2496,2.01,27
113499,2511,2.02,26
113699,2524,2.03,26
113899,2481,2.0,28
114099,2505,2.02,27
114299,2502,2.02,27
114499,2490,2.01,27
114699,2480,2.0,28
114899,2537,2.04,25
115099,2449,1.97,29
115299,2487,2.0,27
115499,2492,2.01,27
115699,2501,2.02,27
115899,2495,2.01,27
116099,2494,2.01,27
116299,2505,2.02,27
116499,2485,2.0,27
116699,2492,2.01,27
116899,2450,1.97,29
117099,2489,2.01,27
117299,2505,2.02,27
117499,2482,2.0,28
117699,2486,2.0,27
117899,2492,2.01,27
118099,2510,2.02,26
118299,2496,2.01,27
118499,2485,2.0,27
118699,2502,2.02,27
118899,2499,2.01,27
119099,2473,1.99,28
119299,2507,2.02,26
119499,2480,2.0,28
119699,2512,2.02,26
119899,2509,2.02,26
120099,2486,2.0,27
120299,2478,2.0,28
120499,2512,2.02,26
120699,2492,2.01,27
120899,2502,2.02,27
121099,2496,2.01,27
121299,2494,2.01,27
121499,2489,2.01,27
121699,2486,2.0,27
121899,2501,2.02,27
122099,2485,2.0,27
122299,2518,2.03,26
122499,2497,2.01,27
122699,2499,2.01,27
122899,2509,2.02,26
123099,2489,2.01,27
123299,2501,2.02,27
123499,2506,2.02,27
123699,2522,2.03,26
123899,2480,2.0,28
124099,2478,2.0,28
124299,2512,2.02,26
124499,2480,2.0,28
124699,2496,2.01,27
124899,2514,2.03,26
125099,2479,2.0,28
125299,2470,1.99,28
125499,2449,1.97,29
80299,2502,2.02,27
80499,2460,1.98,29
80699,2555,2.06,24
80899,2512,2.02,26
81099,2496,2.01,27
81299,2496,2.01,27
81499,2481,2.0,28
81699,2508,2.02,26
81899,2507,2.02,26
82099,2475,1.99,28
82299,2450,1.97,29
82499,2497,2.01,27
82699,2524,2.03,26
82899,2559,2.06,24
83099,2513,2.03,26
83299,2476,2.0,28
83499,2496,2.01,27
83699,2519,2.03,26
83899,2512,2.02,26
84099,2497,2.01,27
84299,2512,2.02,26
84499,2448,1.97,29
84699,2502,2.02,27
84899,2544,2.05,25
85099,2500,2.01,27
85299,2493,2.01,27
85499,2465,1.99,28
85699,2475,1.99,28
85899,2518,2.03,26
86099,2519,2.03,26
86299,2523,2.03,26
86499,2551,2.06,24
86699,2523,2.03,26
86899,2480,2.0,28
87099,2491,2.01,27
87299,2505,2.02,27
87499,2480,2.0,28
87699,2527,2.04,26
87899,2471,1.99,28
88099,2493,2.01,27
88299,2521,2.03,26
88499,2495,2.01,27
88699,2469,1.99,28
88899,2481,2.0,28
89099,2514,2.03,26
89299,2528,2.04,26
89499,2538,2.05,25
89699,2514,2.03,26
89899,2497,2.01,27
90099,2496,2.01,27
90299,2508,2.02,26
90499,2483,2.0,28
90699,2496,2.01,27
90899,2525,2.03,26
91099,2482,2.0,28
91299,2524,2.03,26
91499,2502,2.02,27
91699,2512,2.02,26
91899,2502,2.02,27
92099,2533,2.04,25
92299,2503,2.02,27
92499,2512,2.02,26
92699,2512,2.02,26
92899,2490,2.01,27
93099,2466,1.99,28
93299,2502,2.02,27
93499,2467,1.99,28
93699,2469,1.99,28
93899,2478,2.0,28
94099,2464,1.99,28
94299,2509,2.02,26
94499,2482,2.0,28
94699,2509,2.02,26
94899,2470,1.99,28
95099,2470,1.99,28
95299,2507,2.02,26
95499,2491,2.01,27
95699,2496,2.01,27
95899,2502,2.02,27
96099,2531,2.04,25
96299,2532,2.04,25
96499,2509,2.02,26
96699,2471,1.99,28
96899,2534,2.04,25
97099,2448,1.97,29
97299,2503,2.02,27
97499,2481,2.0,28
97699,2545,2.05,25
97899,2507,2.02,26
98099,2507,2.02,26
98299,2512,2.02,26
98499,2526,2.04,26
98699,2470,1.99,28
98899,2481,2.0,28
99099,2473,1.99,28
99299,2521,2.03,26
99499,2512,2.02,26
99699,2543,2.05,25
99899,2512,2.02,26
100099,2530,2.04,25
100299,2516,2.03,26
100499,2470,1.99,28
100699,2474,1.99,28
100899,2559,2.06,24
101099,2503,2.02,27
101299,2468,1.99,28
101499,2474,1.99,28
101699,2496,2.01,27
101899,2469,1.99,28
102099,2476,2.0,28
102299,2491,2.01,27
102499,2537,2.04,25
102699,2511,2.02,26
102899,2503,2.02,27
103099,2506,2.02,27
103299,2507,2.02,26
103499,2506,2.02,27
103699,2538,2.05,25
